NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    4    18    0.50  -52.01  -38.42   54.72  -55.14  -42.18   53.74
    4    19    0.50  -55.14  -42.18   53.74  -58.44  -45.69   52.40
    4    19    0.50  -58.44  -45.69   52.40  -62.10  -48.76   50.90
    4    19    0.50  -62.10  -48.76   50.90  -65.78  -51.90   49.63
    4    20    0.45  -65.78  -51.90   49.63  -69.89  -54.61   48.77
    4    20    0.45  -69.89  -54.61   48.77  -73.68  -57.85   48.34
    4    21    0.39  -73.68  -57.85   48.34  -77.82  -60.63   48.13
    4    21    0.39  -77.82  -60.63   48.13  -81.56  -63.92   47.61
    4    21    0.39  -81.56  -63.92   47.61  -85.44  -66.98   46.91
    4    22    0.39  -85.44  -66.98   46.91  -89.61  -69.75   46.86
    4    22    0.39  -89.61  -69.75   46.86  -93.40  -73.01   46.86
    4    22    0.39  -93.40  -73.01   46.86  -97.27  -76.15   46.39
    4    23    0.39  -97.27  -76.15   46.39 -101.30  -79.10   46.31
    4    23    0.39 -101.30  -79.10   46.31 -105.24  -82.18   46.50
    4    23    0.39 -105.24  -82.18   46.50 -109.43  -84.89   46.21
    4    24    0.39 -109.43  -84.89   46.21 -113.70  -87.48   46.06
    4    24    0.39 -113.70  -87.48   46.06 -118.00  -90.04   46.01
    4    25    0.39 -118.00  -90.04   46.01 -121.90  -93.16   45.83
    4    25    0.39 -121.90  -93.16   45.83 -125.91  -96.08   45.20
    4    25    0.39 -125.91  -96.08   45.20 -130.13  -98.54   44.15
    4    26    0.39 -130.13  -98.54   44.15 -134.54 -100.83   43.55
    4    26    0.39 -134.54 -100.83   43.55 -139.22 -102.54   43.24
    4    26    0.39 -139.22 -102.54   43.24 -143.91 -104.05   42.39
    4    27    0.39 -143.91 -104.05   42.39 -148.61 -105.62   41.70
    4    27    0.39 -148.61 -105.62   41.70 -153.40 -107.04   41.68
    4    28    0.39 -153.40 -107.04   41.68 -158.31 -107.91   42.11
    4    28    0.39 -158.31 -107.91   42.11 -163.12 -109.25   42.44
    4    28    0.39 -163.12 -109.25   42.44 -167.71 -111.01   43.34
    4    29    0.39 -167.71 -111.01   43.34 -172.43 -112.52   43.98
    4    29    0.39 -172.43 -112.52   43.98 -177.05 -114.38   44.46
